FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
prob2;KNR 5;PCA-30;332660.210131;426.54381704330444
num_aligns;KNR 5;PCA-50;0.0;396.3544340133667
length;KNR 5;PCA-50;26950.0690909;399.60319447517395
prob1;KNR 5;PCA-50;275867.769157;435.6482162475586
prob2;KNR 5;PCA-50;341639.61851;469.16048765182495
num_aligns;KNR 5;PCA-70;0.0;367.6759476661682
length;KNR 5;PCA-70;11988.3446154;415.0330219268799
prob1;KNR 5;PCA-70;753951.133828;474.32766819000244
prob2;KNR 5;PCA-70;531979.593393;436.4508628845215
prob1;KNR 5;ANOVA-30;20745.9353606;176.49373698234558
prob2;KNR 5;ANOVA-30;10027.5493495;178.15553402900696
prob1;KNR 5;ANOVA-50;19843.6761873;191.79748821258545
prob2;KNR 5;ANOVA-50;19204.1571757;186.79112100601196
prob1;KNR 5;ANOVA-70;16481.0600551;184.59282159805298
prob2;KNR 5;ANOVA-70;24464.2646164;192.22710156440735
num_aligns;KNR 7;PCA-30;0.0;343.94565176963806
length;KNR 7;PCA-30;7888.12329932;381.3206944465637
prob1;KNR 7;PCA-30;134871.378379;431.8626706600189
prob2;KNR 7;PCA-30;364997.815995;370.92571568489075
num_aligns;KNR 7;PCA-50;0.0;391.975617647171
length;KNR 7;PCA-50;11253.2889366;439.8524332046509
prob1;KNR 7;PCA-50;150491.23739;437.6877236366272
prob2;KNR 7;PCA-50;149084.546049;430.401508808136
num_aligns;KNR 7;PCA-70;0.0;431.6049201488495
length;KNR 7;PCA-70;16099.5385488;411.56092286109924
prob1;KNR 7;PCA-70;458775.151788;498.26086831092834
prob2;KNR 7;PCA-70;153023.320113;462.72593665122986
prob1;KNR 7;ANOVA-30;25690.0946468;184.07477855682373
prob2;KNR 7;ANOVA-30;18142.3468873;180.20077061653137
prob1;KNR 7;ANOVA-50;13479.1822419;168.83234858512878
prob2;KNR 7;ANOVA-50;2880.41450218;199.54655075073242
prob1;KNR 7;ANOVA-70;6808.46345725;212.3690309524536
prob2;KNR 7;ANOVA-70;9116.91349367;196.0483922958374
num_aligns;SVR;PCA-30;0.029733638336;394.6171987056732
length;SVR;PCA-30;47116.4569886;400.25709795951843
prob1;SVR;PCA-30;322744.539477;407.11004543304443
prob2;SVR;PCA-30;238809.665793;367.17053961753845
num_aligns;SVR;PCA-50;0.00272135027038;453.7510039806366
length;SVR;PCA-50;9964.07203289;414.097608089447
prob1;SVR;PCA-50;161683.614974;435.653844833374
prob2;SVR;PCA-50;215793.590772;328.61256670951843
num_aligns;SVR;PCA-70;0.0345125851172;232.9446361064911
length;SVR;PCA-70;9650.06599378;463.594735622406
prob1;SVR;PCA-70;199335.889082;424.13072443008423
prob2;SVR;PCA-70;264302.99906;423.22207713127136
prob1;SVR;ANOVA-30;16699.8332585;221.00013375282288
prob2;SVR;ANOVA-30;12820.2427308;213.81636500358582
prob1;SVR;ANOVA-50;9089.69013695;194.687762260437
prob2;SVR;ANOVA-50;1399.19772513;191.48452854156494
prob1;SVR;ANOVA-70;11357.3838873;206.9811990261078
prob2;SVR;ANOVA-70;10006.4764573;198.24226713180542
num_aligns;Multi Layer Perceptron;PCA-30;0.0;412.2817916870117
length;Multi Layer Perceptron;PCA-30;2.14144665894e+15;424.60888671875
prob1;Multi Layer Perceptron;PCA-30;5.82469234861e+17;337.6807825565338
prob2;Multi Layer Perceptron;PCA-30;1.91647524495e+17;249.47244501113892
num_aligns;Multi Layer Perceptron;PCA-50;29.0986099446;122.1729040145874
length;Multi Layer Perceptron;PCA-50;1.62905680835e+14;439.04193782806396
prob1;Multi Layer Perceptron;PCA-50;1.42214947995e+17;302.0543782711029
prob2;Multi Layer Perceptron;PCA-50;9.18026761178e+16;170.4811248779297
num_aligns;Multi Layer Perceptron;PCA-70;26.973222655;52.34049606323242
length;Multi Layer Perceptron;PCA-70;1.06789411011e+16;144.2725920677185
