cntr,ra,dec,cra,cdec,naxis1,naxis2,ctype1,ctype2,crpix1,crpix2,crval1,crval2,cdelt1,cdelt2,crota2,equinox,size,hdu
36,205.1019612,27.9779397,13h_40m_24.47s,+27d_58m_40.6s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.1018039,27.9780785,-2.7777778450e-04,2.7777778450e-04,0.0184334,2000,2111040,0
37,205.234068,27.7630339,13h_40m_56.18s,+27d_45m_46.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.233911,27.7631728,-2.7777778450e-04,2.7777778450e-04,0.0010205,2000,2111040,0
38,205.234063,28.0324783,13h_40m_56.18s,+28d_01m_56.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.2339056,28.0326172,-2.7777778450e-04,2.7777778450e-04,0.001023,2000,2111040,0
39,205.2340578,28.3019228,13h_40m_56.17s,+28d_18m_06.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.2339001,28.3020617,-2.7777778450e-04,2.7777778450e-04,0.0010256,2000,2111040,0
40,205.2340528,28.5713672,13h_40m_56.17s,+28d_34m_16.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.2338946,28.5715061,-2.7777778450e-04,2.7777778450e-04,0.0010282,2000,2111040,0
41,205.2340477,28.8408117,13h_40m_56.17s,+28d_50m_26.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.2338891,28.8409505,-2.7777778450e-04,2.7777778450e-04,0.0010309,2000,2111040,0
42,205.7660708,28.7880629,13h_43m_03.86s,+28d_47m_17.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.7659123,28.7882018,-2.7777778450e-04,2.7777778450e-04,0.0048779,2000,2111040,0
43,205.7660965,28.5186185,13h_43m_03.86s,+28d_31m_07.0s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,205.7659384,28.5187573,-2.7777778450e-04,2.7777778450e-04,0.0048654,2000,2111040,0
0,229.4874387,1.9666139,15h_17m_56.99s,+01d_57m_59.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.4872997,1.9667528,-2.7777778450e-04,2.7777778450e-04,0.0001711,2000,2111040,0
1,229.4874395,1.6971694,15h_17m_56.99s,+01d_41m_49.8s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.4873005,1.6973083,-2.7777778450e-04,2.7777778450e-04,0.0001711,2000,2111040,0
2,229.607846,1.4830908,15h_18m_25.88s,+01d_28m_59.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.6077071,1.4832297,-2.7777778450e-04,2.7777778450e-04,359.999884,2000,2111040,0
3,229.6078467,1.7525352,15h_18m_25.88s,+01d_45m_09.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.6077077,1.7526741,-2.7777778450e-04,2.7777778450e-04,359.9998839,2000,2111040,0
4,229.6078472,2.0219797,15h_18m_25.88s,+02d_01m_19.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.6077082,2.0221186,-2.7777778450e-04,2.7777778450e-04,359.9998839,2000,2111040,0
5,229.6078477,2.2914241,15h_18m_25.88s,+02d_17m_29.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.6077087,2.291563,-2.7777778450e-04,2.7777778450e-04,359.9998839,2000,2111040,0
6,229.6078483,2.5608686,15h_18m_25.88s,+02d_33m_39.1s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.6077093,2.5610074,-2.7777778450e-04,2.7777778450e-04,359.9998839,2000,2111040,0
7,229.7284526,2.5056788,15h_18m_54.83s,+02d_30m_20.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.7283136,2.5058177,-2.7777778450e-04,2.7777778450e-04,0.0033172,2000,2111040,0
8,229.7284682,2.2362343,15h_18m_54.83s,+02d_14m_10.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.7283292,2.2363732,-2.7777778450e-04,2.7777778450e-04,0.0033165,2000,2111040,0
9,229.7284838,1.9667899,15h_18m_54.84s,+01d_58m_00.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.7283448,1.9669288,-2.7777778450e-04,2.7777778450e-04,0.003316,2000,2111040,0
10,229.7284994,1.6973455,15h_18m_54.84s,+01d_41m_50.4s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.7283604,1.6974843,-2.7777778450e-04,2.7777778450e-04,0.0033155,2000,2111040,0
11,229.8488681,1.4831408,15h_19m_23.73s,+01d_28m_59.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.8487292,1.4832797,-2.7777778450e-04,2.7777778450e-04,0.0009263,2000,2111040,0
12,229.8488639,1.7525852,15h_19m_23.73s,+01d_45m_09.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.8487249,1.7527241,-2.7777778450e-04,2.7777778450e-04,0.0009264,2000,2111040,0
13,229.8488595,2.0220297,15h_19m_23.73s,+02d_01m_19.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.8487205,2.0221686,-2.7777778450e-04,2.7777778450e-04,0.0009266,2000,2111040,0
14,229.8488551,2.2914741,15h_19m_23.73s,+02d_17m_29.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.8487161,2.291613,-2.7777778450e-04,2.7777778450e-04,0.0009267,2000,2111040,0
15,229.8488508,2.5609186,15h_19m_23.72s,+02d_33m_39.3s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.8487118,2.5610574,-2.7777778450e-04,2.7777778450e-04,0.0009269,2000,2111040,0
16,229.9696568,2.5055288,15h_19m_52.72s,+02d_30m_19.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.9695178,2.5056677,-2.7777778450e-04,2.7777778450e-04,0.0008778,2000,2111040,0
17,229.9696609,2.2360843,15h_19m_52.72s,+02d_14m_09.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.9695219,2.2362232,-2.7777778450e-04,2.7777778450e-04,0.0008777,2000,2111040,0
18,229.969665,1.9666399,15h_19m_52.72s,+01d_57m_59.9s,512,1024,RA---SIN,DEC--SIN,256.5,512.5,229.969526,1.9667788,-2.7777778450e-04,2.7777778450e-04,0.0008775,2000,2111040,0
